method,hop,top_n,strategy,k1,b,query_id,recall_at_5,recall_at_10,mrr_at_10,ndcg_at_10
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000036,0.500000,0.500000,1.000000,0.613147
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000037,1.000000,1.000000,1.000000,0.919721
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000038,1.000000,1.000000,0.500000,0.624051
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000039,1.000000,1.000000,1.000000,0.919721
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000040,0.500000,0.500000,0.500000,0.386853
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000041,0.333333,0.333333,0.500000,0.296082
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000042,0.000000,0.000000,0.000000,0.000000
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000043,0.500000,0.500000,0.500000,0.386853
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000044,0.500000,0.500000,0.200000,0.237198
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000045,0.333333,0.333333,1.000000,0.469279
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000046,0.500000,0.750000,1.000000,0.654245
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000047,0.333333,0.333333,1.000000,0.469279
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000048,0.000000,0.500000,0.166667,0.218407
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000049,0.000000,0.500000,0.142857,0.204382
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000050,0.500000,1.000000,1.000000,0.817530
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000051,0.000000,0.333333,0.111111,0.141267
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000052,0.000000,0.500000,0.125000,0.193426
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000053,0.000000,0.500000,0.111111,0.184576
